"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"J.T. Realmuto","- - -","270","1124","46","166","157","12","7.0 %","20.2 %",".213",".310",".276",".334",".489",".346","116","10.2","33.3","36.7","10.6","11739"
"Max Muncy","Dodgers","278","1070","70","176","177","7","15.8 %","26.2 %",".289",".290",".256",".381",".545",".388","146","7.9","70.6","-4.8","10.0","13301"
"Yasmani Grandal","- - -","293","1150","52","144","145","7","15.7 %","22.9 %",".224",".279",".243",".366",".467",".357","123","-11.3","22.1","40.0","9.9","11368"
"Javier Baez","Cubs","298","1206","63","190","196","32","4.7 %","26.8 %",".258",".346",".286",".321",".544",".357","123","5.2","39.3","19.3","9.7","12979"
"Ketel Marte","Diamondbacks","297","1208","46","165","151","16","8.9 %","13.7 %",".222",".313",".296",".361",".518",".369","129","3.1","48.9","10.5","9.7","13613"
"George Springer","Astros","262","1176","61","198","167","12","11.1 %","20.0 %",".230",".304",".278",".363",".507",".369","136","0.0","53.3","1.5","9.4","12856"
"Ronald Acuna Jr.","Braves","267","1202","67","205","165","53","10.1 %","25.9 %",".246",".343",".285",".365",".532",".376","133","10.8","61.6","-6.4","9.3","18401"
"Manny Machado","- - -","318","1370","69","165","192","19","9.9 %","16.9 %",".224",".290",".277",".351",".501",".356","124","-0.5","40.4","6.9","9.3","11493"
"Freddie Freeman","Braves","320","1399","61","207","219","16","11.7 %","18.5 %",".225",".339",".302",".388",".527",".382","138","1.2","68.1","-20.6","9.3","5361"
"J.D. Martinez","Red Sox","296","1306","79","209","235","8","10.8 %","21.7 %",".275",".358",".317",".392",".593",".407","154","-8.7","78.4","-32.8","9.1","6184"
"Juan Soto","Nationals","266","1153","56","187","180","17","16.2 %","20.0 %",".248",".323",".287",".403",".535",".393","143","1.5","65.2","-16.8","8.5","20123"
"Ozzie Albies","Braves","318","1386","48","207","158","29","6.5 %","16.5 %",".198",".305",".278",".329",".476",".339","109","10.4","26.4","13.6","8.4","16556"
"Jose Altuve","Astros","261","1147","44","173","135","23","8.4 %","14.0 %",".191",".329",".308",".370",".499",".368","136","-0.2","51.1","-6.7","8.4","5417"
"Eugenio Suarez","Reds","302","1268","83","166","207","4","10.6 %","26.1 %",".273",".317",".277",".362",".550",".379","134","-10.3","44.2","-1.0","8.4","12552"
"Trea Turner","Nationals","284","1309","38","199","130","78","8.6 %","18.7 %",".169",".329",".283",".348",".451",".342","110","14.9","31.8","8.8","8.3","16252"
"Paul Goldschmidt","- - -","319","1372","67","192","180","10","12.2 %","24.7 %",".229",".330",".275",".367",".504",".368","131","5.7","58.2","-21.3","8.1","9218"
"Whit Merrifield","Royals","320","1442","28","193","134","65","7.4 %","16.6 %",".148",".351",".303",".358",".451",".345","115","9.0","35.0","-4.5","8.1","11281"
"Bryce Harper","- - -","316","1377","69","201","214","28","16.6 %","25.2 %",".248",".301",".255",".383",".503",".371","130","-0.2","51.5","-15.1","8.0","11579"
"Yoan Moncada","White Sox","281","1209","42","156","140","22","8.9 %","30.7 %",".197",".374",".273",".339",".469",".343","117","5.7","32.8","4.6","7.8","17232"
"Michael Brantley","- - -","291","1268","39","177","166","15","7.8 %","9.9 %",".176",".319",".310",".368",".486",".363","129","1.3","46.5","-12.9","7.7","4106"
"Tommy Pham","- - -","282","1224","42","179","131","40","12.1 %","21.5 %",".182",".328",".274",".368",".456",".353","125","2.7","41.0","-8.2","7.4","2967"
"DJ LeMahieu","- - -","273","1236","41","199","164","11","6.7 %","13.9 %",".173",".325",".303",".350",".476",".350","113","-2.3","18.2","15.7","7.4","9874"
"Paul DeJong","Cardinals","274","1154","49","165","146","10","8.5 %","23.6 %",".203",".271",".237",".316",".440",".321","101","5.0","6.8","30.8","7.4","18015"
"Matt Olson","Athletics","289","1207","65","158","175","2","10.0 %","24.9 %",".239",".296",".256",".342",".495",".353","126","-2.7","35.8","-3.5","7.3","14344"
